#Id Teff err [Fe/H] err Mv err age/Gyr err mass/Msun err logg err R/Rsun err B-V/mag err 
hd39828 4888 50 -0.03 0.03 2.172 0.357 4.287 1.435 1.306 0.134 3.200 0.114 4.604 0.724 1.000 0.018 
hd40537 5002 39 -0.13 0.01 2.879 0.110 4.425 0.758 1.257 0.061 3.427 0.051 3.480 0.198 0.950 0.013 
hd45210 5680 28 -0.08 0.01 2.134 0.230 2.489 0.430 1.528 0.086 3.548 0.072 3.347 0.358 0.728 0.008 
hd45410 5014 28 -0.08 0.02 2.129 0.057 2.299 0.205 1.580 0.050 3.230 0.030 4.891 0.162 0.942 0.010 
hd45506 5101 22 0.01 0.01 2.049 0.070 1.684 0.097 1.785 0.036 3.296 0.025 4.816 0.177 0.912 0.008 
hd47562 5033 25 -0.30 0.01 1.647 0.332 2.437 0.934 1.482 0.203 3.083 0.147 5.613 1.303 0.927 0.010 
hd48122 5131 14 -0.47 0.01 1.982 0.257 3.175 0.599 1.304 0.083 3.233 0.069 4.432 0.480 0.892 0.005 
hd50275 4977 33 0.12 0.02 2.256 0.353 2.559 0.694 1.579 0.145 3.360 0.113 4.213 0.723 0.966 0.014 
hd51272 4913 31 0.05 0.02 1.585 0.292 1.365 0.267 1.977 0.136 2.879 0.083 8.208 1.014 0.987 0.008 
hd64413 4924 22 -0.41 0.01 1.439 0.634 5.176 2.481 1.157 0.166 2.673 0.265 7.955 2.603 0.966 0.008 
hd64730 5218 50 -0.05 0.03 1.794 0.360 1.676 0.445 1.767 0.161 3.340 0.108 4.557 0.771 0.872 0.017 
hd72003 4876 25 -0.02 0.02 1.957 0.377 3.545 1.276 1.392 0.166 3.162 0.126 4.964 0.983 0.998 0.010 
hd72440 5608 15 -0.07 0.01 2.354 0.368 3.309 1.481 1.373 0.139 3.687 0.122 2.705 0.510 0.750 0.004 
hd72490 5033 32 -0.19 0.02 2.249 0.262 3.333 0.693 1.359 0.096 3.304 0.083 4.166 0.503 0.936 0.011 
hd74390 4939 33 0.15 0.02 2.119 0.307 2.322 0.588 1.639 0.138 3.275 0.094 4.733 0.682 0.983 0.014 
hd76445 4846 42 -0.15 0.02 2.897 0.135 9.118 1.705 1.031 0.053 3.269 0.062 3.778 0.259 0.998 0.013 
hd77172 4904 29 0.00 0.02 2.487 0.289 4.196 0.984 1.319 0.094 3.313 0.085 4.061 0.492 0.991 0.011 
hd77818 4833 36 -0.10 0.02 2.145 0.190 4.929 1.319 1.236 0.095 3.058 0.066 5.274 0.461 1.012 0.013 
hd80811 4944 28 -0.44 0.02 2.996 0.295 10.234 1.313 0.941 0.034 3.189 0.082 3.957 0.404 0.947 0.009 
hd82074 5162 25 -0.33 0.01 2.538 0.060 2.939 0.159 1.369 0.031 3.399 0.027 3.747 0.125 0.888 0.008 
hd82886 5103 15 -0.27 0.01 2.140 0.201 2.535 0.379 1.462 0.078 3.283 0.067 4.434 0.453 0.905 0.005 
hd83024 4831 46 0.10 0.04 2.483 0.161 4.596 1.069 1.301 0.091 3.207 0.069 4.559 0.362 1.030 0.017 
hd83394 5013 15 -0.24 0.01 2.302 0.153 3.474 0.419 1.323 0.052 3.257 0.045 4.340 0.291 0.937 0.005 
hd83752 6191 40 0.26 0.02 2.237 0.133 1.883 0.553 1.678 0.048 3.776 0.045 2.690 0.175 0.598 0.010 
hd85440 5207 18 -0.02 0.01 2.558 0.206 2.581 0.373 1.538 0.080 3.527 0.070 3.430 0.364 0.876 0.006 
hd85472 5338 18 -0.02 0.01 3.146 0.111 3.853 0.415 1.329 0.045 3.726 0.030 2.531 0.130 0.833 0.006 
hd87230 5044 32 0.10 0.02 2.347 0.171 2.186 0.296 1.659 0.075 3.373 0.054 4.255 0.344 0.938 0.011 
hd87669 4723 31 -0.11 0.02 2.236 0.304 8.351 2.235 1.068 0.080 2.920 0.080 5.748 0.647 1.051 0.013 
hd88134 4875 29 0.00 0.02 2.424 0.255 4.354 1.032 1.306 0.093 3.249 0.077 4.352 0.476 1.001 0.011 
hd88654 5265 25 0.12 0.01 2.821 0.155 3.036 0.330 1.489 0.058 3.613 0.047 3.056 0.229 0.862 0.008 
hd89391 4897 46 -0.19 0.03 2.791 0.189 7.691 2.039 1.070 0.079 3.272 0.078 3.836 0.348 0.980 0.016 
hd90043 5000 43 -0.02 0.02 2.003 0.064 2.038 0.244 1.667 0.068 3.193 0.041 5.246 0.213 0.952 0.016 
hd90792 4947 26 0.00 0.02 1.897 0.306 2.070 0.741 1.676 0.216 3.115 0.170 5.748 1.477 0.971 0.010 
hd93396 5374 28 0.29 0.02 2.992 0.189 3.702 1.985 1.396 0.076 3.737 0.064 2.564 0.239 0.832 0.009 
hd93461 5109 26 -0.04 0.02 2.681 0.273 3.102 0.612 1.433 0.102 3.547 0.094 3.232 0.458 0.910 0.009 
hd93864 5019 15 -0.20 0.01 2.829 0.177 4.482 0.709 1.234 0.057 3.423 0.050 3.462 0.261 0.936 0.005 
hd94834 4836 25 0.07 0.02 2.799 0.128 5.358 1.003 1.237 0.065 3.306 0.049 3.965 0.242 1.019 0.010 
hd95089 4937 47 0.06 0.03 2.237 0.251 3.041 0.767 1.475 0.127 3.261 0.085 4.562 0.550 0.987 0.020 
hd95526 4931 29 -0.12 0.02 2.468 0.313 4.741 1.229 1.241 0.094 3.288 0.088 4.058 0.509 0.974 0.011 
hd96063 5107 15 -0.18 0.01 2.268 0.281 2.614 0.537 1.479 0.106 3.378 0.095 3.993 0.577 0.906 0.005 
hd96683 5137 38 0.19 0.02 2.141 0.305 1.918 0.446 1.753 0.135 3.414 0.091 4.172 0.593 0.907 0.013 
hd97601 5137 36 -0.06 0.02 2.201 0.183 2.019 0.284 1.656 0.080 3.358 0.057 4.320 0.374 0.900 0.012 
hd98219 5014 30 0.05 0.02 2.401 0.195 2.503 0.370 1.574 0.079 3.361 0.061 4.197 0.380 0.947 0.011 
hd99706 4915 29 0.05 0.02 2.093 0.190 2.580 0.468 1.559 0.097 3.191 0.062 5.085 0.465 0.987 0.012 
hd100337 4990 26 -0.15 0.01 1.968 0.258 2.765 0.681 1.464 0.124 3.192 0.090 4.920 0.692 0.950 0.010 
hd102329 4759 53 0.08 0.03 1.900 0.285 4.345 1.477 1.327 0.139 2.993 0.101 5.893 0.810 1.058 0.021 
hd102444 5293 20 -0.05 0.01 2.777 0.213 3.111 0.501 1.425 0.086 3.636 0.075 2.911 0.343 0.847 0.007 
hd102956 4996 36 0.15 0.02 2.352 0.227 2.324 0.418 1.639 0.098 3.360 0.070 4.291 0.452 0.959 0.014 
hd103616 5201 31 -0.03 0.02 2.619 0.172 2.634 0.300 1.525 0.062 3.526 0.058 3.416 0.299 0.878 0.010 
hd104017 4813 40 0.21 0.02 2.652 0.206 4.689 1.010 1.318 0.089 3.291 0.074 4.165 0.399 1.045 0.015 
hd106270 5565 22 0.05 0.01 2.942 0.146 3.537 2.452 1.344 0.074 3.766 0.050 2.438 0.185 0.765 0.007 
hd106279 4933 22 -0.33 0.02 1.717 0.389 4.485 1.667 1.213 0.135 3.009 0.105 5.531 0.921 0.964 0.008 
hd107990 4896 38 -0.07 0.03 0.700 0.521 1.392 0.446 1.956 0.235 2.723 0.103 9.758 1.413 0.978 0.016 
hd108189 5444 20 -0.01 0.01 1.780 0.222 1.639 0.265 1.793 0.098 3.377 0.066 4.409 0.468 0.798 0.006 
hd108863 4858 40 0.07 0.02 2.027 0.236 3.205 0.835 1.455 0.127 3.133 0.080 5.252 0.620 1.017 0.016 
hd109159 5244 25 -0.13 0.01 2.944 0.145 3.374 0.326 1.359 0.048 3.635 0.051 2.851 0.220 0.862 0.008 
hd109218 5294 18 -0.10 0.01 3.219 0.138 4.163 0.630 1.272 0.057 3.730 0.030 2.471 0.139 0.846 0.006 
hd109929 6196 35 0.40 0.01 3.197 0.095 2.131 0.521 1.417 0.025 4.085 0.033 1.732 0.081 0.604 0.009 
hd112115 4726 72 0.10 0.04 0.586 0.564 2.334 1.473 1.672 0.364 2.583 0.130 10.615 1.406 1.066 0.037 
hd112973 4954 35 -0.31 0.02 2.258 0.190 5.342 1.483 1.154 0.091 3.131 0.067 4.690 0.417 0.957 0.013 
hd112988 4887 25 -0.30 0.01 2.232 0.209 7.240 1.863 1.064 0.076 3.048 0.063 4.953 0.464 0.982 0.009 
hd114161 4870 29 0.11 0.02 1.745 0.324 1.535 0.470 1.910 0.210 2.910 0.130 7.781 1.560 1.006 0.009 
